SITES,LATITUDE,LONGITUDE
Biddeford,43.44785,-70.35935
Biddeford,43.44797,-70.35933
Biddeford,43.44789,-70.35933
Biddeford,43.44791,-70.35927
Biddeford,43.44789,-70.35922
Biddeford,43.44794,-70.35918
Biddeford,43.44796,-70.35918
Biddeford,43.4478,-70.3595
Biddeford,43.44782,-70.35946
Biddeford,43.44781,-70.35944
Biddeford,43.44782,-70.35938
Biddeford,43.44784,-70.35936
Biddeford,43.44784,-70.35929
Biddeford,43.44783,-70.35929
Biddeford,43.44785,-70.35926
Biddeford,43.44786,-70.35919
Biddeford,43.44787,-70.35917
Biddeford,43.4479,-70.35923
Biddeford,43.44789,-70.35923
Biddeford,43.44786,-70.35924
Biddeford,43.44784,-70.35924
Biddeford,43.44784,-70.35939
Biddeford,43.44778,-70.35929
Biddeford,43.44782,-70.35944
Biddeford,43.44794,-70.35917
Biddeford,43.44785,-70.35921
Biddeford,43.44786,-70.35925
Biddeford,43.44782,-70.35927
Biddeford,43.44781,-70.35933
Biddeford,43.44782,-70.35938
Biddeford,43.44783,-70.3594
Biddeford,43.44782,-70.35945
Biddeford,43.44778,-70.35948
Biddeford,43.44782,-70.35948
Biddeford,43.44784,-70.35914
Biddeford,43.44783,-70.35919
Biddeford,43.44786,-70.35928
Biddeford,43.44785,-70.35934
Biddeford,43.44781,-70.35931
Biddeford,43.44785,-70.35935
Biddeford,43.44788,-70.35938
Biddeford,43.44781,-70.35943
Biddeford,43.44783,-70.35949
Biddeford,43.44784,-70.35949
Biddeford,43.44786,-70.35943
Biddeford,43.44783,-70.35919
Biddeford,43.44786,-70.35928
Biddeford,43.44785,-70.35934
Biddeford,43.44781,-70.35931
Biddeford,43.44785,-70.35935
Biddeford,43.44788,-70.35938
Biddeford,43.44781,-70.35943
Biddeford,43.44783,-70.35949
Biddeford,43.44778,-70.35962
Biddeford,43.44786,-70.35915
Biddeford,43.44783,-70.35919
Biddeford,43.44786,-70.35928
Biddeford,43.44785,-70.35934
Biddeford,43.44781,-70.35931
Biddeford,43.44785,-70.35935
Biddeford,43.44788,-70.35938
Biddeford,43.44781,-70.35943
Biddeford,43.44783,-70.35949
Biddeford,43.4478,-70.35948
Biddeford,43.44782,-70.35919
Biddeford,43.44783,-70.35919
Biddeford,43.44786,-70.35928
Biddeford,43.44785,-70.35934
Biddeford,43.44781,-70.35931
Biddeford,43.44785,-70.35935
Biddeford,43.44788,-70.35938
Biddeford,43.44781,-70.35943
Biddeford,43.44783,-70.35949
Biddeford,43.44784,-70.35957
Little John-NW,43.754033,-70.136467
Little John-NE,43.754,-70.136167
Little John-SE,43.7537,-70.136133
Mackworth- SE,43.692167,-70.227883
Mackworth- SW,43.692467,-70.228167
Mackworth- NW,43.753983,-70.136567
Little John-NW,43.753983,-70.136183
Little John-NE,43.753817,-70.136183
Little John-SE,43.6922,-70.22795
Mackworth- SE,43.692167,-70.22825
Mackworth- SW,43.692433,-70.228283
Mackworth- NW,43.692433,-70.228283
Little John-NW,43.753983,-70.13635
Little John-NE,43.753933,-70.1362
Little John-SE,43.753717,-70.13605
Mackworth- SE,43. 692167,-70.227967
Mackworth- SW,43.692233,-70.2283
Mackworth- NW,43.692433,-70.22825
Little John-NW,43.754,-70.136617
Little John-NE,43.753967,-70.1362
Little John-SE,43.753683,-70.136167
Mackworth- SE,43.692167,-70.227983
Mackworth- SW,43.692167,-70.228267
Mackworth- NW,43.692417,-70.228317
Little John-NW,43.754,-70.13615
Little John-NE,43.753983,-70.13615
Little John-SE,43.75375,-70.136217
Mackworth- SE,43.692167,-70.227917
Mackworth- SW,43.692167,-70.2283
Mackworth- NW,43.692467,-70.2283
Fore River- Scour Pool,43.661552,-70.3080174
Fore River- Scour Pool,43.661552,-70.3080174
Fore River- Scour Pool,43.661552,-70.3080174
Fore River- Scour Pool,43.661552,-70.3080174
Fore River- Scour Pool,43.661552,-70.3080174
Fore River- Scour Pool,43.661552,-70.3080174
Fore River- Scour Pool,43.661552,-70.3080174
Fore River- Scour Pool,43.661552,-70.3080174
Fore River- Scour Pool,43.661552,-70.3080174
Fore River- Scour Pool,43.661552,-70.3080174
Fore River- Marsh Pool,43.6609884,-70.3078613
Fore River- Marsh Pool,43.6609884,-70.3078613
Fore River- Marsh Pool,43.6609884,-70.3078613
Fore River- Marsh Pool,43.6609884,-70.3078613
Dolphin Lane,43.3125441,-70.5630469
Upper Landing,43.3295791,-70.5665107
Jones Creek ,43.545032,-70.3344664
WinnockÊNeck,43.5564883,-70.3363646
Harpswell Cove,43.851516,-69.9359829
Thomas Point ,43.8898416,-69.8911862
Atkins Flat ,43.7527277,-69.7956192
Branch Flat,43.7254414,-69.8496689
SamÕs Cove,43.9869865,-69.4245734
Broad Cove,44.0300803,-69.4077721
Little Broad Cove,44.307332,-68.899959
Ryder Cove,44.3415648,-68.8875348
Hatch Cove ,44.1794093,-68.6218423
Sunshine Bar ,44.2106637,-68.6012752
Raccoon Cove,44.4672197,-68.2834265
Hog Bay,44.5761443,-68.2201068
DobbinsÕ Island,44.5050784,-67.6033264
Perio Point ,44.5215101,-67.6118721
Sanborn Cove,44.6830785,-67.3974513
Randall Point,44.6874811,-67.3777066
Burnt Cove ,44.8320469,-67.1540798
Hallowell Island ,44.8796669,-67.1578838
Marion Cove,44.8670204,-67.1165431
Gleason Cove,44.9675232,-67.0549885
HalfMoonÊCove,44.9525077,-67.0432993
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Thomas Point Beach,43.8945242,-69.8911593
Thomas Point Beach,43.8945242,-69.8911593
Thomas Point Beach,43.8945242,-69.8911593
Simpsons Point,43.8520251,-69.9728267
Simpsons Point,43.8520251,-69.9728267
Simpsons Point,43.8520251,-69.9728267
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Princes Point,43.7625802,-70.1739374
Princes Point,43.7625802,-70.1739374
Princes Point,43.7625802,-70.1739374
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Maquoit,43.8475914,-70.0148456
Middle Bay,43.8262905,-69.9843805
Harpswell Cove,43.851516,-69.935983
Princes Point,43.7625802,-70.1739374
Thomas Point,43.8945242,-69.8911593
Maquoit,43.8475914,-70.0148456
Middle Bay,43.8262905,-69.9843805
Harpswell Cove,43.851516,-69.935983
Princes Point,43.7625802,-70.1739374
Thomas Point,43.8945242,-69.8911593
Maquoit,43.8475914,-70.0148456
Middle Bay,43.8262905,-69.9843805
Harpswell Cove,43.851516,-69.935983
Princes Point,43.7625802,-70.1739374
Thomas Point,43.8945242,-69.8911593
Maquoit,43.8475914,-70.0148456
Middle Bay,43.8262905,-69.9843805
Harpswell Cove,43.851516,-69.935983
Princes Point,43.7625802,-70.1739374
Thomas Point,43.8945242,-69.8911593
Maquoit,43.8475914,-70.0148456
Middle Bay,43.8262905,-69.9843805
Harpswell Cove,43.851516,-69.935983
Princes Point,43.7625802,-70.1739374
Thomas Point,43.8945242,-69.8911593
Maquoit,43.8475914,-70.0148456
Middle Bay,43.8262905,-69.9843805
Harpswell Cove,43.851516,-69.935983
Princes Point,43.7625802,-70.1739374
Thomas Point,43.8945242,-69.8911593
Maquoit,43.8475914,-70.0148456
Middle Bay,43.8262905,-69.9843805
Harpswell Cove,43.851516,-69.935983
Princes Point,43.7625802,-70.1739374
Thomas Point,43.8945242,-69.8911593
Maquoit,43.8475914,-70.0148456
Middle Bay,43.8262905,-69.9843805
Harpswell Cove,43.851516,-69.935983
Princes Point,43.7625802,-70.1739374
Thomas Point,43.8945242,-69.8911593
Maquoit,43.8475914,-70.0148456
Middle Bay,43.8262905,-69.9843805
Harpswell Cove,43.851516,-69.935983
Princes Point,43.7625802,-70.1739374
Thomas Point,43.8945242,-69.8911593
Maquoit,43.8475914,-70.0148456
Middle Bay,43.8262905,-69.9843805
Harpswell Cove,43.851516,-69.935983
Princes Point,43.7625802,-70.1739374
Thomas Point,43.8945242,-69.8911593
Thomas Point,43.8945242,-69.8911593
Thomas Point,43.8945242,-69.8911593
Thomas Point,43.8945242,-69.8911593
Thomas Point,43.8945242,-69.8911593
Thomas Point,43.8945242,-69.8911593
Thomas Point,43.8945242,-69.8911593
Thomas Point,43.8945242,-69.8911593
Prince's Point,43.7625802,-70.1739374
Prince's Point,43.7625802,-70.1739374
Prince's Point,43.7625802,-70.1739374
Prince's Point,43.7625802,-70.1739374
Prince's Point,43.7625802,-70.1739374
Prince's Point,43.7625802,-70.1739374
Prince's Point,43.7625802,-70.1739374
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Harpswell Cove,43.851516,-69.935983
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Penneville,43.8546344,-69.9608317
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Dolphin Lane,43.3125441,-70.5630469
Upper Landing,43.3295791,-70.5665107
Jones Creek ,43.545032,-70.3344664
WinnockÊNeck,43.5564883,-70.3363646
Harpswell Cove,43.851516,-69.9359829
Thomas Point ,43.8898416,-69.8911862
Atkins Flat ,43.7527277,-69.7956192
Branch Flat,43.7254414,-69.8496689
SamÕs Cove,43.9869865,-69.4245734
Broad Cove,44.0300803,-69.4077721
Little Broad Cove,44.307332,-68.899959
Ryder Cove,44.3415648,-68.8875348
Hatch Cove ,44.1794093,-68.6218423
Sunshine Bar ,44.2106637,-68.6012752
Raccoon Cove,44.4672197,-68.2834265
Hog Bay,44.5761443,-68.2201068
DobbinsÕ Island,44.5050784,-67.6033264
Perio Point ,44.5215101,-67.6118721
Sanborn Cove,44.6830785,-67.3974513
Randall Point,44.6874811,-67.3777066
Burnt Cove ,44.8320469,-67.1540798
Hallowell Island ,44.8796669,-67.1578838
Marion Cove,44.8670204,-67.1165431
Gleason Cove,44.9675232,-67.0549885
HalfMoonÊCove,44.9525077,-67.0432993
Dolphin Lane,43.3125441,-70.5630469
Upper Landing,43.3295791,-70.5665107
Jones Creek ,43.545032,-70.3344664
WinnockÊNeck,43.5564883,-70.3363646
Harpswell Cove,43.851516,-69.9359829
Thomas Point ,43.8898416,-69.8911862
Atkins Flat (Fab),43.7527277,-69.7956192
Atkins Flat (Mes),43.7527277,-69.7956192
Branch Flat (mes),43.7254414,-69.8496689
Branch Flat (fab),43.7254414,-69.8496689
SamÕs Cove,43.9869865,-69.4245734
Broad Cove,44.0300803,-69.4077721
Little Broad Cove,44.307332,-68.899959
Ryder Cove,44.3415648,-68.8875348
Hatch Cove (fab),44.1794093,-68.6218423
Hatch Cove (Mesh),44.1794093,-68.6218423
Sunshine Bar  (fab),44.2106637,-68.6012752
Sunshine Bar (mesh),44.2106637,-68.6012752
Raccoon Cove,44.4672197,-68.2834265
Hog Bay,44.5761443,-68.2201068
DobbinsÕ Island,44.5050784,-67.6033264
Perio Point ,44.5215101,-67.6118721
Sanborn Cove (fab),44.6830785,-67.3974513
Sanborn Cove (mes),44.6830785,-67.3974513
Randall Point (fab),44.6874811,-67.3777066
Randall Point (mes),44.6874811,-67.3777066
Burnt Cove ,44.8320469,-67.1540798
Hallowell Island ,44.8796669,-67.1578838
Marion Cove,44.8670204,-67.1165431
Gleason Cove,44.9675232,-67.0549885
HalfMoonÊCove,44.9525077,-67.0432993
Dolphin Lane,43.3125441,-70.5630469
Upper Landing,43.3295791,-70.5665107
Jones Creek ,43.545032,-70.3344664
WinnockÊNeck,43.5564883,-70.3363646
Harpswell Cove,43.851516,-69.9359829
Thomas Point ,43.8898416,-69.8911862
Cushman Cove ,43.987742,-69.667775
Maine Yankee,43.931817,-69.724433
SamÕs Cove,43.9869865,-69.424573
Broad Cove,44.0300803,-69.407772
Little Broad Cove,44.307332,-68.899959
Ryder Cove,44.3415648,-68.887535
Raccoon Cove,44.4672197,-68.2834265
Hog Bay,44.5761443,-68.2201068
DobbinsÕ Island,44.5050784,-67.6033264
Perio Point ,44.5215101,-67.6118721
Burnt Cove ,44.8320469,-67.1540798
Hallowell Island ,44.8796669,-67.1578838
Marion Cove,44.8670204,-67.1165431
Gleason Cove,44.9675232,-67.0549885
HalfMoonÊCove,44.9525077,-67.0432993
Dolphin Lane,43.3125441,-70.5630469
Upper Landing,43.3295791,-70.5665107
Jones Creek ,43.545032,-70.3344664
WinnockÊNeck,43.5564883,-70.3363646
Harpswell Cove,43.851516,-69.9359829
Thomas Point ,43.8898416,-69.8911862
Cushman Cove ,43.987742,-69.667775
Maine Yankee,43.931817,-69.724433
SamÕs Cove,43.9869865,-69.424573
Broad Cove,44.0300803,-69.407772
Little Broad Cove,44.307332,-68.899959
Ryder Cove,44.3415648,-68.887535
Raccoon Cove,44.4672197,-68.2834265
Hog Bay,44.5761443,-68.2201068
DobbinsÕ Island,44.5050784,-67.6033264
Perio Point ,44.5215101,-67.6118721
Gleason Cove,44.9675232,-67.0549885
HalfMoonÊCove,44.9525077,-67.0432993
Bunker Harbor,44.2946831,-68.284584
Hog Island,43.9683989,-69.4234431
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
Grand Marsh Bay,44.4449817,-68.0120217
,,
Grand Marsh Bay,44.4449817,-68.0120217
Jones Cove,44.4681326,-68.1012783
Widgeon Cove,43.79874101,-69.97272698
Widgeon Cove,43.79900102,-69.97321799
Mackworth Island,43.68477998,-70.23132596
Mackworth Island,43.68473698,-70.23193097
Broad Cove,43.75795299,-70.19301899
Broad Cove,43.75756399,-70.19333297
Broad Cove,43.75596799,-70.19477902
Broad Cove,43.75556499,-70.195049
Cousins Island,43.766023,-70.14663697
Cousins Island,43.76647202,-70.146627
Cousins Island,43.76274702,-70.14640102
Cousins Island,43.76315002,-70.14666002
Little Chebeague Island,43.71735097,-70.14377799
Little Chebeague Island,43.71765196,-70.14332897
Little Chebeague Island,43.71605404,-70.14806701
Little Chebeague Island,43.71629803,-70.14755404
Mackworth Island,43.68477998,-70.23132596
Mackworth Island,43.68473698,-70.23193097
Broad Cove,43.75795299,-70.19301899
Broad Cove,43.75756399,-70.19333297
Widgeon Cove,43.79874101,-69.97272698
Widgeon Cove,43.79900102,-69.97321799
Broad Cove,43.75596799,-70.19477902
Broad Cove,43.75556499,-70.195049
Cousins Island,43.766023,-70.14663697
Cousins Island,43.76647202,-70.146627
Cousins Island,43.76274702,-70.14640102
Cousins Island,43.76315002,-70.14666002
Little Chebeague Island,43.71735097,-70.14377799
Little Chebeague Island,43.71765196,-70.14332897
Little Chebeague Island,43.71605404,-70.14806701
Little Chebeague Island,43.71629803,-70.14755404
Mackworth Island,43.68477998,-70.23132596
Mackworth Island,43.68473698,-70.23193097
Broad Cove,43.75795299,-70.19301899
Broad Cove,43.75756399,-70.19333297
Broad Cove,43.75596799,-70.19477902
Broad Cove,43.75556499,-70.195049
Cousins Island,43.766023,-70.14663697
Cousins Island,43.76647202,-70.146627
Cousins Island,43.76274702,-70.14640102
Cousins Island,43.76315002,-70.14666002
Little Chebeague Island,43.71735097,-70.14377799
Little Chebeague Island,43.71765196,-70.14332897
Little Chebeague Island,43.71605404,-70.14806701
Little Chebeague Island,43.71629803,-70.14755404
Widgeon Cove,43.79874101,-69.97272698
Widgeon Cove,43.79900102,-69.97321799
Mackworth Island,43.68477998,-70.23132596
Mackworth Island,43.68473698,-70.23193097
Broad Cove,43.75795299,-70.19301899
Broad Cove,43.75756399,-70.19333297
Broad Cove,43.75596799,-70.19477902
Broad Cove,43.75556499,-70.195049
Cousins Island,43.766023,-70.14663697
Cousins Island,43.76647202,-70.146627
Cousins Island,43.76274702,-70.14640102
Cousins Island,43.76315002,-70.14666002
Little Chebeague Island,43.71735097,-70.14377799
Little Chebeague Island,43.71765196,-70.14332897
Little Chebeague Island,43.71605404,-70.14806701
Little Chebeague Island,43.71629803,-70.14755404
Widgeon Cove,43.79874101,-69.97272698
Widgeon Cove,43.79900102,-69.97321799
Mackworth Island,43.68477998,-70.23132596
Mackworth Island,43.68473698,-70.23193097
Broad Cove,43.75795299,-70.19301899
Broad Cove,43.75756399,-70.19333297
Broad Cove,43.75596799,-70.19477902
Broad Cove,43.75556499,-70.195049
Cousins Island,43.766023,-70.14663697
Cousins Island,43.76647202,-70.146627
Cousins Island,43.76274702,-70.14640102
Cousins Island,43.76315002,-70.14666002
Little Chebeague Island,43.71735097,-70.14377799
Little Chebeague Island,43.71765196,-70.14332897
Little Chebeague Island,43.71605404,-70.14806701
Little Chebeague Island,43.71629803,-70.14755404
Widgeon Cove,43.79874101,-69.97272698
Widgeon Cove,43.79900102,-69.97321799
Widgeon Cove,43.79874101,-69.97272698
Widgeon Cove,43.79900102,-69.97321799
Mackworth Island,43.68477998,-70.23132596
Mackworth Island,43.68473698,-70.23193097
Broad Cove,43.75795299,-70.19301899
Broad Cove,43.75756399,-70.19333297
Broad Cove,43.75596799,-70.19477902
Broad Cove,43.75556499,-70.195049
Cousins Island,43.766023,-70.14663697
Cousins Island,43.76647202,-70.146627
Cousins Island,43.76274702,-70.14640102
Cousins Island,43.76315002,-70.14666002
Little Chebeague Island,43.71765196,-70.14332897
Little Chebeague Island,43.71605404,-70.14806701
Little Chebeague Island,43.71629803,-70.14755404
Little Chebeague Island,43.79874101,-69.97272698
Mackworth Island,43.68477998,-70.23132596
Mackworth Island,43.68473698,-70.23193097
Broad Cove,43.75795299,-70.19301899
Broad Cove,43.75756399,-70.19333297
Broad Cove,43.75596799,-70.19477902
Broad Cove,43.75556499,-70.195049
Cousins Island,43.766023,-70.14663697
Cousins Island,43.76647202,-70.146627
Cousins Island,43.76274702,-70.14640102
Cousins Island,43.76315002,-70.14666002
Little Chebeague Island,43.71765196,-70.14332897
Little Chebeague Island,43.71605404,-70.14806701
Little Chebeague Island,43.71629803,-70.14755404
Little Chebeague Island,43.79874101,-69.97272698
Widgeon Cove,43.79874101,-69.97272698
Widgeon Cove,43.79900102,-69.97321799
Mackworth Island,43.68477998,-70.23132596
Mackworth Island,43.68473698,-70.23193097
Broad Cove,43.75795299,-70.19301899
Broad Cove,43.75756399,-70.19333297
Broad Cove,43.75596799,-70.19477902
Broad Cove,43.75556499,-70.195049
Cousins Island,43.766023,-70.14663697
Cousins Island,43.76647202,-70.146627
Cousins Island,43.76274702,-70.14640102
Cousins Island,43.76315002,-70.14666002
Little Chebeague Island,43.71765196,-70.14332897
Little Chebeague Island,43.71605404,-70.14806701
Little Chebeague Island,43.71629803,-70.14755404
Little Chebeague Island,43.79874101,-69.97272698
Widgeon Cove,43.79874101,-69.97272698
Widgeon Cove,43.79900102,-69.97321799
Mackworth Island,43.68477998,-70.23132596
Mackworth Island,43.68473698,-70.23193097
Broad Cove,43.75795299,-70.19301899
Broad Cove,43.75756399,-70.19333297
Broad Cove,43.75596799,-70.19477902
Broad Cove,43.75556499,-70.195049
Cousins Island,43.766023,-70.14663697
Cousins Island,43.76647202,-70.146627
Cousins Island,43.76274702,-70.14640102
Cousins Island,43.76315002,-70.14666002
Little Chebeague Island,43.71765196,-70.14332897
Little Chebeague Island,43.71605404,-70.14806701
Little Chebeague Island,43.71629803,-70.14755404
Little Chebeague Island,43.79874101,-69.97272698
Mackworth Island - North,43.69248,-70.23123
Mussel Cove,43.71143,-70.21814
Mackworth Island - Beach,43.68958,-70.23572
Cushing Island,43.64294,-70.20761
Audubon,43.711032,-70.2419147
Back Cove,43.67912,-70.26547
Audubon,43.711032,-70.2419147
Mackworth Island - North,43.69248,-70.23123
SMCC,43.649958,-70.225889
Cushing Island,43.64294,-70.20761
The Brothers - North,43.70047,-70.21832
Mackworth Island - Beach,43.68958,-70.23572
Back Cove,43.67912,-70.26547
Audubon,43.711032,-70.2419147
Mackworth Island - North,43.69248,-70.23123
SMCC,43.649958,-70.225889
Alewife Cove,43.59085,-70.21031
Cushing Island,43.64294,-70.20761
Back Cove,43.67912,-70.26547
Skitterygusset,43.71458,-70.24791
Mackworth Island - Beach,43.68958,-70.23572
SMCC,43.649958,-70.225889
Great Diamond Island,43.67601,-70.20443
Mackworth Island - North,43.69248,-70.23123
Presumpscot Moorings,43.71546,-70.25923
Alewife Cove,43.59085,-70.21031
Cushing Island,43.64294,-70.20761
Mackworth Island - Beach,43.68958,-70.23572
Skitterygusset,43.71458,-70.24791
Back Cove,43.67912,-70.26547
Mussel Cove,43.71143,-70.21814
Audubon,43.711032,-70.2419147
Mackworth Island - North,43.69248,-70.23123
The Brothers - North,43.70047,-70.21832
SMCC,43.649958,-70.225889
Cushing Island,43.64294,-70.20761
Mackworth Island - Beach,43.68958,-70.23572
Skitterygusset,43.71458,-70.24791
Back Cove,43.67912,-70.26547
SMCC,43.649958,-70.225889
Audubon,43.711032,-70.2419147
Mackworth Island - North,43.69248,-70.23123
Great Diamond Island,43.67601,-70.20443
Cushing Island,43.64294,-70.20761
Mackworth Island - Beach,43.68958,-70.23572
Mussel Cove,43.71143,-70.21814
Skitterygusset,43.71458,-70.24791
Mackworth Island - Beach,43.68958,-70.23572
SMCC,43.649958,-70.225889
Cushing Island,43.64294,-70.20761
Skitterygusset,43.71458,-70.24791
Mackworth Island - North,43.69248,-70.23123
Mackworth Island - Beach,43.68958,-70.23572
Audubon,43.711032,-70.2419147
SMCC,43.649958,-70.225889
Skitterygusset,43.71458,-70.24791
Mackworth Island - North,43.69248,-70.23123
Cushing Island,43.64294,-70.20761
Mussel Cove,43.71143,-70.21814
Mackworth Island - Beach,43.68958,-70.23572
Presumpscot Moorings,43.71546,-70.25923
Audubon,43.711032,-70.2419147
Cushing Island,43.64294,-70.20761
